"","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",69.7023968291227,0,4,0,2,1,0,2,0,3,0,5,4,0,0,2,0,1,2,0,0,0,1,2,0,0,3,5,0,0,0,0,0,0,2,2,5,5,5,2,2,1,1,0,0,5,0,0,2,1,0,0,0,0,1,4,0,0,2,0,2,0,0,5,0,0,2,2,2,3,1,0,0,4,0,5,2,2,0,1,5,1,0,0,0,5,0,3,0,0,3,0,0,1,1,2,0,1,0,0,0
"2",59.7772447442086,2,0,0,1,1,4,0,2,2,2,2,0,4,4,3,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,0,2,3,0,1,0,5,0,2,1,0,1,0,0,0,3,1,1,1,0,0,1,1,0,2,4,1,1,1,2,2,1,0,0,0,1,3,1,0,1,0,0,2,0,0,0,1,0,0,1,2,0,0,0,5,2,2,1,0,1,0
"3",59.7657026252091,0,2,2,0,2,0,0,2,1,1,5,5,0,0,0,0,0,0,3,1,1,5,1,0,0,3,2,0,1,4,0,4,0,0,0,1,2,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,3,2,1,2,0,0,1,2,5,1,0,0,0,0,0,1,2,1,4,1,1,0,0,0,0,1,1,0,0,0,5,0,0,1,2,0,2,2,1
"4",61.9372339660773,1,2,4,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,2,0,0,4,3,0,1,0,2,0,2,2,3,2,0,0,0,0,0,0,0,0,1,2,5,1,4,3,0,0,0,0,2,0,0,0,4,0,0,0,0,5,3,2,0,0,0,0,0,2,0,3,0,1,1,2,1,0,0,1,0,1,0,0,0,1,0,3,0,2,1,0,1
"5",54.1242436827222,2,3,0,0,0,1,0,1,1,0,2,2,1,0,1,0,0,0,4,0,0,0,1,0,0,0,0,2,1,0,0,0,1,3,2,0,3,2,0,1,0,5,2,0,5,1,2,0,3,3,2,2,0,0,0,2,0,1,2,1,0,2,0,1,0,0,0,0,3,3,3,0,2,0,0,1,2,0,2,0,0,1,3,2,3,1,0,3,0,0,1,0,0,1,1,1,0,4,1,1
"6",66.7738854765883,1,0,1,0,2,1,0,0,3,0,1,0,5,1,1,0,0,0,1,2,0,2,0,0,0,2,1,5,1,0,5,1,2,0,1,0,0,1,0,2,2,5,0,2,3,1,0,0,0,1,0,2,4,0,0,0,0,0,5,0,3,4,3,3,0,1,0,0,5,0,1,0,2,0,1,2,0,2,3,4,5,0,1,1,0,4,0,1,3,0,0,0,0,0,0,0,2,0,0,1
"7",44.0183488538123,2,3,0,0,4,0,2,5,0,0,0,4,0,1,1,1,0,0,0,0,0,0,1,0,2,0,1,0,4,1,2,0,1,1,3,3,0,2,0,3,2,0,0,2,0,0,3,0,2,4,0,0,4,4,0,0,0,0,0,0,0,2,2,0,3,1,0,0,0,0,0,0,0,2,0,2,4,0,0,1,0,0,0,3,0,2,0,1,5,1,0,0,2,0,1,1,5,0,0,2
"8",84.9370314919036,5,0,0,0,0,1,0,0,5,0,2,0,5,0,0,0,3,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,0,2,0,0,1,2,0,0,3,1,5,2,5,1,1,1,2,1,3,5,0,0,0,1,0,0,1,0,0,3,1,1,1,0,0,0,3,2,0,2,1,0,3,0,0,0,2,2,2,0,3,0,0,0,0,0,0,4,0,0,5
"9",44.479483695862,5,0,0,0,0,2,1,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,0,4,0,0,1,3,0,4,3,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,1,1,1,0,2,5,0,0,2,0,0,2,2,0,4,0,0,0,0,0,2,4,1,0,0,2,0,1,0,0,1,2,2
"10",40.7844451767372,0,0,1,2,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,2,1,0,2,0,2,1,0,1,0,0,2,4,1,2,1,0,3,2,2,1,0,0,0,3,4,0,0,0,0,2,2,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,3,5,1,1,2,0,0,0,0,2,1,0,0,0,0,4,4,1,5,0,0,0,5,0,1,0,3,3,0,5,0,1,4
